position,text_of_post
non-toxic,"It's funny how black people are ""activists"" but white people are 'supremacists,' 'neo-Nazis,' or racist."
non-toxic,To bad the idiots against jet noise weren't around then...they could have complained about the attackers plane noise and they would have gone home.....
non-toxic,DAMN Grover! Preach it son.
non-toxic,they will be dead right
non-toxic,"Steve  --  take a breath!  Today your posts are nothing but ad hominems.

Now that you've grasped the fact that fluoridation has been defeated in Port Angeles yet again, I imagine you're feeling pretty upset with us local voters.  Still, that's no reason to short-change your trollmasters by posting a flock of silly playground insults.  

Come on, Steve, pull yourself together.  You haven't once played fake-scientist today, nor directed anyone to ""ilovemyteeth.com.""  Here's a challenge:  Try NOT using the words ""conspiracy,"" ""corruption,"" ""nonsense,"" and especially ""antifluoridationist,"" just for one day."
non-toxic,"I'm liberalophobic, They scare me with their PC fascism.  Their vapid stupid lies that they are out to help people. (millions killed by their invented drug culture).  Their unreasoned hate of the white majority in favor of any minority, no matter how insignificant in population.  Their lockstep, kneejerk reactionary mentality to any cause that is anti-American.    Their inability to fathom that progressivism is actually regressivism as all of their beliefs have been tried before, even begetting  doomed civilizations because of the same philosophy."
non-toxic,"Bullshit. When two friends and I were coming to Alaska we were crossing at Vancouver. They took us one at a time into a little room and asked what the penalty for possession of marijuana was where we were from. We were from Oregon and at the time it was a 100 dollar fine for an ounce or under. He then asked if we ever smoked any. I said I had a couple of ""drags"" at a party once years before. My friends lied and said no, never. I was refused entry and they were not. This happened a lot, so this guy is full of it."
non-toxic,"How pathetic of Kellie Leitch to compare her Roman Catholic identity to Muslims in Canada.

Catholics have been here from the beginning days of this country....they are totally accepted, even though you do read mocking comments on the Internet at times, it is nothing at like experienced by Muslim people.

I'm Catholic.....I've never been personally insulted on a bus or taking a child to school or shopping in a grocerty store the way some newcomers to Canada are. 

 How silly of Ms. Leitch to make such a comparison....it's embarrassing actually."
toxic,It has ceased to amaze how supposedly educated people could display and allow such stupidity.
toxic,Never underestimate the power of idiots in large groups.
toxic,"Trudeau is the biggest, most arrogant liar."
non-toxic,"Dang folks, break out your happy lights or go for a walk!"
toxic,Kathy Griffin is a cheap slut
toxic,"You are unbelievable! Trump asked the Russians to hack Hillary Clinton's email, he did it on mainstream TV, and EVERYBODY saw it. ""Fake posts""? Are you for real Bill? I think you're ignorant as well as crazy. You are garbage in, garbage out. Anyone can access the video of Trump asking Russia to hack Hillary. Good grief!"
non-toxic,I'm still waiting to hear the irrefutable evidence. The idiot stoner at the helm should do the same.
toxic,See a shrink you pathetic troll.
toxic,THE DOT seem to have all INCOMPETENT people in charge.  There are many smart people who could have turned that dump around in the past 20 years.  DISGUSTING and CORRUPT !!
toxic,Hopefully no Habs d-man is silly enough to trip a guy going in full speed ;-)
non-toxic,"Emissions from tire fires are extremely toxic.   Just thinking about being inside a facility that sells new tires has me feeling sick.  
""...the massive tire pile has caught fire four times this year alone and numerous times before that.""   What the!?  It's maddening.   I hope that the idiots who stored these tires (30 years, unreal) are efficiently/properly dealt with this time.  Fines and monitoring...whatever it takes."
toxic,First class ass
toxic,"Tell the moron, to sit on it and just wait him out.  Let him make some more phone calls and insult foreign leaders.  The only thing wrong with NAFTA is Cheeto."
non-toxic,"""Wythe thinks Republican members of the House should settle their differences in caucus meetings — which are private.""  That statement should scare the h*ll out of  any voter.  Another advocate for a state government functioning  behind closed doors is exactly who we do not need in the Alaska Legislature.  The  system she apparently adores (the secretive standing caucus system)has just about pounded this state into the ground.  Also, does she understand caucus membership is all about crushing any minority view and has little to do with party platforms and everything to do with the quid pro quo of trading toady behavior for spending in deals that are done behind closed doors?  Stupid is as stupid does.........."
toxic,"That's some way to treat your fellow Americans,  scumbag."
toxic,"typical anti everything stupidity, hey loser every job is a good job for growth,, now tell your stupidity to the welder who will build this line that he cant pay his mortgage etc,, thanks to your stupidity"
non-toxic,Go away.  Bigoted jerk!
toxic,"why even create Black water to start with, Use Humanure thermophylic composting, 

I have never understood why people think they need to poop into drinking quality water.or any water at all, so stupid"
toxic,"Live in Tacoma Wa part of the Liberal Paradise of the NW: Seattle-Tacoma. I See so many fat asses waddling around it is disgusting, but gives me incentive to keep my weight under control.  Seems like with the millennials and all the fat asses, we are now are  a country that is fat, dumb and Happy? Not proud to be an American too much."
